age,gender,country,education,job_role,code_time_numeric,has_machine_learning_numeric
22-24,Male,France,Master’s degree,Software Engineer,2,0
40-44,Male,India,Professional degree,Software Engineer,0,1
40-44,Male,Australia,Master’s degree,Other,2,0
22-24,Male,India,Bachelor’s degree,Other,1,0
50-54,Male,France,Master’s degree,Data Scientist,6,1
22-24,Male,India,Master’s degree,Data Scientist,3,0
22-24,Female,United States of America,Bachelor’s degree,Data Scientist,3,1
55-59,Male,Netherlands,Master’s degree,Other,4,0
30-34,Male,Germany,Master’s degree,Statistician,4,1
30-34,Male,Germany,Bachelor’s degree,Data Scientist,4,1
30-34,Male,United States of America,Master’s degree,Product/Project Manager,3,0
25-29,Male,India,Bachelor’s degree,Other,0,1
50-54,Female,United States of America,Master’s degree,Data Analyst,5,1
18-21,Male,Australia,Bachelor’s degree,Software Engineer,2,0
18-21,Male,India,Some college/university study without earning a bachelor’s degree,Student,2,1
35-39,Male,France,Master’s degree,Product/Project Manager,3,1
25-29,Male,France,Doctoral degree,Research Scientist,4,1
22-24,Female,Ireland,Master’s degree,Data Analyst,2,0
35-39,Male,United States of America,Bachelor’s degree,Other,4,1
25-29,Male,India,Master’s degree,Business Analyst,1,0
40-44,Male,Russia,Master’s degree,Software Engineer,2,0
25-29,Male,Greece,Master’s degree,Research Scientist,4,1
30-34,Male,Greece,Master’s degree,Software Engineer,2,0
35-39,Male,India,Master’s degree,Software Engineer,5,0
25-29,Male,United States of America,Doctoral degree,Student,2,1
30-34,Female,Ukraine,Doctoral degree,Research Scientist,3,0
25-29,Female,Pakistan,Master’s degree,Research Scientist,2,1
30-34,Male,Japan,Master’s degree,Software Engineer,2,1
30-34,Male,Japan,Master’s degree,Data Scientist,4,0
25-29,Female,Other,Master’s degree,Data Analyst,2,0
30-34,Female,United States of America,Master’s degree,Research Scientist,4,1
22-24,Male,Brazil,Bachelor’s degree,Data Scientist,2,1
25-29,Male,India,Bachelor’s degree,Other,3,1
35-39,Male,South Korea,Master’s degree,Data Analyst,2,1
25-29,Male,Brazil,Master’s degree,Data Analyst,3,0
35-39,Male,France,Master’s degree,Data Engineer,1,1
30-34,Female,United States of America,Doctoral degree,Product/Project Manager,5,1
25-29,Male,India,Bachelor’s degree,Software Engineer,2,0
22-24,Male,India,Master’s degree,Not employed,1,1
22-24,Male,India,Master’s degree,Not employed,1,1
35-39,Male,Belarus,Master’s degree,Software Engineer,2,0
25-29,Male,India,Bachelor’s degree,DBA/Database Engineer,3,0
22-24,Male,India,Bachelor’s degree,Software Engineer,2,0
25-29,Male,India,Master’s degree,Data Engineer,3,0
25-29,Male,Nigeria,Master’s degree,Data Analyst,1,0
35-39,Female,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,4,0
30-34,Male,Sweden,Master’s degree,Data Analyst,2,1
35-39,Male,United States of America,Bachelor’s degree,Data Scientist,4,1
25-29,Male,India,Bachelor’s degree,Business Analyst,3,1
18-21,Male,India,Professional degree,Student,2,1
30-34,Male,Germany,Master’s degree,Data Engineer,2,1
25-29,Male,Germany,Bachelor’s degree,Data Scientist,3,1
25-29,Male,India,Some college/university study without earning a bachelor’s degree,Data Analyst,1,0
45-49,Female,India,Doctoral degree,Data Analyst,3,0
40-44,Male,India,Master’s degree,Other,1,0
30-34,Male,United States of America,Master’s degree,Other,3,0
22-24,Female,India,I prefer not to answer,Student,1,1
35-39,Male,Mexico,Master’s degree,Data Scientist,2,1
30-34,Male,United States of America,Bachelor’s degree,Data Analyst,3,1
25-29,Female,United States of America,Doctoral degree,Student,4,1
22-24,Male,France,Master’s degree,Data Scientist,2,0
35-39,Prefer to self-describe,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,2,1
40-44,Male,Other,Master’s degree,Other,3,0
25-29,Prefer not to say,United States of America,Master’s degree,Data Scientist,4,1
18-21,Male,Russia,Bachelor’s degree,Data Scientist,2,1
22-24,Male,India,Bachelor’s degree,Software Engineer,2,0
22-24,Male,India,Master’s degree,Student,2,1
30-34,Male,India,Bachelor’s degree,Data Scientist,3,1
22-24,Male,Australia,Master’s degree,Software Engineer,2,0
18-21,Male,Brazil,Bachelor’s degree,Student,2,1
30-34,Female,India,Master’s degree,Other,1,0
22-24,Male,India,Bachelor’s degree,Student,2,1
35-39,Male,Japan,Doctoral degree,Research Scientist,2,1
35-39,Male,Canada,Doctoral degree,Research Scientist,5,1
18-21,Male,India,Some college/university study without earning a bachelor’s degree,Student,1,1
30-34,Male,Portugal,Doctoral degree,Data Scientist,4,1
25-29,Male,Russia,Bachelor’s degree,Software Engineer,2,0
22-24,Female,India,Bachelor’s degree,Student,0,1
30-34,Male,Canada,Master’s degree,Business Analyst,3,0
30-34,Female,United States of America,Master’s degree,Data Engineer,3,1
22-24,Male,France,Master’s degree,Data Scientist,2,1
22-24,Male,United States of America,Master’s degree,Data Scientist,1,0
30-34,Male,Canada,Doctoral degree,Research Scientist,4,1
25-29,Male,Poland,Master’s degree,Research Scientist,4,1
22-24,Male,Indonesia,Master’s degree,Data Engineer,2,0
35-39,Male,Netherlands,I prefer not to answer,Software Engineer,2,0
30-34,Male,Italy,Some college/university study without earning a bachelor’s degree,Data Scientist,2,1
45-49,Male,France,Master’s degree,Software Engineer,1,0
22-24,Male,India,Bachelor’s degree,Software Engineer,3,0
22-24,Male,Brazil,Bachelor’s degree,Business Analyst,2,0
30-34,Male,United States of America,Master’s degree,Business Analyst,2,0
30-34,Male,India,Bachelor’s degree,Business Analyst,2,0
25-29,Male,Czech Republic,Master’s degree,Research Scientist,2,1
35-39,Prefer not to say,United States of America,Master’s degree,Data Scientist,3,0
18-21,Male,India,No formal education past high school,Student,1,1
25-29,Female,Other,Master’s degree,Software Engineer,1,0
22-24,Male,Pakistan,Bachelor’s degree,Software Engineer,1,0
50-54,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Engineer,5,0
30-34,Male,United States of America,Master’s degree,Data Scientist,3,1
30-34,Male,Spain,Doctoral degree,Student,2,1
30-34,Female,United States of America,Master’s degree,Data Engineer,5,1
18-21,Male,India,Bachelor’s degree,Student,1,1
35-39,Male,Sweden,Doctoral degree,Data Scientist,4,1
25-29,Male,United States of America,Master’s degree,Data Analyst,3,1
25-29,Female,Morocco,Master’s degree,Not employed,1,1
25-29,Male,India,Master’s degree,Data Scientist,3,1
45-49,Male,India,I prefer not to answer,Other,2,1
25-29,Male,Spain,Master’s degree,Data Scientist,3,1
18-21,Male,India,Bachelor’s degree,Student,0,1
22-24,Male,Greece,Master’s degree,Not employed,1,1
35-39,Male,Russia,Professional degree,Data Scientist,5,1
25-29,Prefer not to say,Other,Doctoral degree,Software Engineer,2,1
40-44,Male,India,Master’s degree,Data Engineer,4,1
25-29,Male,United States of America,Master’s degree,Data Scientist,3,0
25-29,Male,India,Doctoral degree,Student,1,1
30-34,Male,United States of America,Doctoral degree,Data Scientist,4,1
22-24,Male,Pakistan,Master’s degree,Data Scientist,2,1
25-29,Male,Chile,Master’s degree,Data Scientist,3,1
25-29,Male,Other,No formal education past high school,Not employed,1,1
22-24,Male,India,Bachelor’s degree,Student,2,1
22-24,Male,India,Bachelor’s degree,Not employed,2,1
22-24,Male,France,Master’s degree,Software Engineer,2,1
18-21,Female,India,Bachelor’s degree,Software Engineer,2,1
18-21,Male,India,Bachelor’s degree,Student,2,1
45-49,Male,Hong Kong (S.A.R.),Professional degree,Data Analyst,3,0
30-34,Female,Mexico,Master’s degree,Software Engineer,2,1
25-29,Male,India,Master’s degree,Software Engineer,3,0
50-54,Male,Spain,Doctoral degree,Research Scientist,6,1
18-21,Female,India,Master’s degree,Data Scientist,3,1
22-24,Male,India,Bachelor’s degree,Not employed,1,1
25-29,Male,South Africa,Bachelor’s degree,Data Scientist,2,1
30-34,Male,Hungary,Doctoral degree,Student,3,1
40-44,Male,India,Master’s degree,Data Scientist,3,1
60-69,Male,United States of America,Master’s degree,Software Engineer,6,0
45-49,Female,Argentina,Professional degree,Data Analyst,4,0
25-29,Male,Turkey,Doctoral degree,Data Scientist,4,1
55-59,Male,United States of America,Bachelor’s degree,Software Engineer,5,0
30-34,Male,Ireland,Master’s degree,Data Scientist,2,1
22-24,Male,Russia,Master’s degree,Student,1,1
18-21,Male,India,Bachelor’s degree,Student,2,1
55-59,Male,France,Master’s degree,Research Scientist,3,0
25-29,Male,India,Master’s degree,Business Analyst,3,0
35-39,Male,Portugal,Master’s degree,Software Engineer,4,0
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,3,1
22-24,Male,India,Master’s degree,Data Scientist,2,1
45-49,Female,United States of America,Master’s degree,Statistician,5,1
22-24,Male,Pakistan,Bachelor’s degree,Data Scientist,3,1
30-34,Male,United States of America,I prefer not to answer,Data Analyst,3,1
40-44,Male,Brazil,Professional degree,Statistician,4,0
35-39,Male,Israel,Bachelor’s degree,Other,5,1
35-39,Male,Russia,Bachelor’s degree,Software Engineer,1,0
30-34,Male,Nigeria,Bachelor’s degree,Research Scientist,1,0
35-39,Female,India,Master’s degree,Student,5,1
18-21,Male,India,Bachelor’s degree,Student,1,1
18-21,Male,India,Bachelor’s degree,Data Scientist,3,1
25-29,Male,Japan,Bachelor’s degree,Software Engineer,2,0
35-39,Male,United States of America,Master’s degree,Data Scientist,4,1
35-39,Male,Other,Master’s degree,Data Scientist,4,1
35-39,Male,Italy,Doctoral degree,Other,5,1
30-34,Female,Italy,Master’s degree,Data Scientist,3,0
18-21,Female,India,Bachelor’s degree,Student,3,1
18-21,Male,India,Bachelor’s degree,Student,2,1
25-29,Male,France,Master’s degree,Data Scientist,3,1
18-21,Male,India,Master’s degree,Student,1,1
30-34,Male,Ukraine,Bachelor’s degree,Software Engineer,3,1
